/run/media/levan/SDXC/NSU/MyLabs/OS/lab3/task3/build master* ⇡
❯ sudo ./prog
=== PID: 17952 ===
0x7f50e2ab3000 | RAM  | PFN: 0x01133bc | Физический: 0x0001133bc000 | [DIRTY]
0x7f50e2ab4000 | RAM  | PFN: 0x01133bd | Физический: 0x0001133bd000 | [DIRTY]
0x7f50e2ab5000 | RAM  | PFN: 0x01133be | Физический: 0x0001133be000 | [DIRTY]
0x7f50e2ab6000 | RAM  | PFN: 0x01133bf | Физический: 0x0001133bf000 | [DIRTY]
0x7f50e2ab7000 | RAM  | PFN: 0x01133c0 | Физический: 0x0001133c0000 | [DIRTY]
0x7f50e2ab8000 | RAM  | PFN: 0x01133c1 | Физический: 0x0001133c1000 | [DIRTY]
0x7f50e2ab9000 | RAM  | PFN: 0x01133c2 | Физический: 0x0001133c2000 | [DIRTY]
0x7f50e2aba000 | RAM  | PFN: 0x01133c3 | Физический: 0x0001133c3000 | [DIRTY]
0x7f50e2abb000 | RAM  | PFN: 0x01133c4 | Физический: 0x0001133c4000 | [DIRTY]
0x7f50e2abc000 | RAM  | PFN: 0x01133c5 | Физический: 0x0001133c5000 | [DIRTY]
0x7f50e2abd000 | RAM  | PFN: 0x01133c6 | Физический: 0x0001133c6000 | [DIRTY]
0x7f50e2abe000 | RAM  | PFN: 0x011f69a | Физический: 0x00011f69a000 | [DIRTY]
0x7f50e2abf000 | RAM  | PFN: 0x011f69b | Физический: 0x00011f69b000 | [DIRTY]
0x7f50e2ac0000 | RAM  | PFN: 0x011f69c | Физический: 0x00011f69c000 | [DIRTY]
0x7f50e2ac1000 | RAM  | PFN: 0x011f69d | Физический: 0x00011f69d000 | [DIRTY]
0x7f50e2ac2000 | RAM  | PFN: 0x011f69e | Физический: 0x00011f69e000 | [DIRTY]
0x7f50e2ac3000 | RAM  | PFN: 0x011f69f | Физический: 0x00011f69f000 | [DIRTY]
0x7f50e2ac4000 | RAM  | PFN: 0x011f6a0 | Физический: 0x00011f6a0000 | [DIRTY]
0x7f50e2ac5000 | RAM  | PFN: 0x011f6a1 | Физический: 0x00011f6a1000 | [DIRTY]
0x7f50e2ac6000 | RAM  | PFN: 0x011f6a2 | Физический: 0x00011f6a2000 | [DIRTY]
0x7f50e2ac7000 | RAM  | PFN: 0x011f6a3 | Физический: 0x00011f6a3000 | [DIRTY]
0x7f50e2ac8000 | RAM  | PFN: 0x011f6a4 | Физический: 0x00011f6a4000 | [DIRTY]
0x7f50e2ac9000 | RAM  | PFN: 0x011f6a5 | Физический: 0x00011f6a5000 | [DIRTY]
0x7f50e2aca000 | RAM  | PFN: 0x011f6a6 | Физический: 0x00011f6a6000 | [DIRTY]
0x7f50e2acb000 | RAM  | PFN: 0x011f6a7 | Физический: 0x00011f6a7000 | [DIRTY]
0x7f50e2acc000 | RAM  | PFN: 0x011f6a8 | Физический: 0x00011f6a8000 | [DIRTY]
0x7f50e2acd000 | RAM  | PFN: 0x011f6a9 | Физический: 0x00011f6a9000 | [DIRTY]
0x7f50e2ace000 | RAM  | PFN: 0x011f6aa | Физический: 0x00011f6aa000 | [DIRTY]
0x7f50e2acf000 | RAM  | PFN: 0x011f6ab | Физический: 0x00011f6ab000 | [DIRTY]
0x7f50e2ad0000 | RAM  | PFN: 0x011f6ac | Физический: 0x00011f6ac000 | [DIRTY]
0x7f50e2ad1000 | RAM  | PFN: 0x011f6ad | Физический: 0x00011f6ad000 | [DIRTY]
0x7f50e2ad2000 | RAM  | PFN: 0x011f6ae | Физический: 0x00011f6ae000 | [DIRTY]
0x7f50e2ad3000 | RAM  | PFN: 0x011f6af | Физический: 0x00011f6af000 | [DIRTY]
0x7f50e2ad4000 | RAM  | PFN: 0x011f6b0 | Физический: 0x00011f6b0000 | [DIRTY]
0x7f50e2ad5000 | RAM  | PFN: 0x011f6b1 | Физический: 0x00011f6b1000 | [DIRTY]
0x7f50e2ad6000 | RAM  | PFN: 0x011f6b2 | Физический: 0x00011f6b2000 | [DIRTY]
0x7f50e2ad7000 | RAM  | PFN: 0x011f6b3 | Физический: 0x00011f6b3000 | [DIRTY]
0x7f50e2ad8000 | RAM  | PFN: 0x011f6b4 | Физический: 0x00011f6b4000 | [DIRTY]
0x7f50e2ad9000 | RAM  | PFN: 0x011f6b5 | Физический: 0x00011f6b5000 | [DIRTY]
0x7f50e2ada000 | RAM  | PFN: 0x011f6b6 | Физический: 0x00011f6b6000 | [DIRTY]
0x7f50e2adb000 | RAM  | PFN: 0x011f6b7 | Физический: 0x00011f6b7000 | [DIRTY]
0x7f50e2adc000 | RAM  | PFN: 0x011f6b8 | Физический: 0x00011f6b8000 | [DIRTY]
0x7f50e2add000 | RAM  | PFN: 0x011f6b9 | Физический: 0x00011f6b9000 | [DIRTY]
0x7f50e2ade000 | RAM  | PFN: 0x011f6ba | Физический: 0x00011f6ba000 | [DIRTY]
0x7f50e2adf000 | RAM  | PFN: 0x011f6bb | Физический: 0x00011f6bb000 | [DIRTY]
